username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
ald,0,0,2,0,0
GerhardMiller,0,0,2,0,0
steve,3,0,8,0,0
DeepIntoTheBowelsOfHouse,5,3,19,1,3
Cocolacascara,0,2,1,0,0
zrk,1,0,1,0,0
djbd,0,0,1,0,0
embark,0,0,2,0,1
Mumblz,0,0,25,0,0
dmonica,1,0,0,2,7
navajo,1,0,2,0,7
misshetashah,3,0,29,2,9
oimustill,3,0,28,2,6
MAA,0,0,14,1,0
PandaMusicStoreNews,0,0,2,0,0
BlungoMa,1,0,4,2,0
SheerZed,12,0,51,10,0
yali,8,0,37,7,40
sachin,0,0,33,0,0
Rachel,0,0,3,0,0
globallocal,0,0,20,0,0
jessica,2,0,31,1,4
5mg3,0,0,2,0,0
katiay,4,0,34,2,32
nousefor,0,0,2,0,0
ned,8,0,44,0,0
teafortwo,0,0,2,0,0
alfinthe1009,8,0,39,3,5
volumenbrutal,557,0,167,86,1
Berri,0,0,7,0,0
nixinoodles,0,0,11,0,0
sss41,0,0,7,0,0
Jentia,4,0,52,17,42
mark3man,0,0,3,0,0
Energyzer,2,0,16,0,4
dajaniel,0,0,3,0,0
cowbite,0,0,17,1,0
davidncahn,0,0,2,0,0
smoovebert,1,0,2,2,2
morpheus,1,0,9,6,0
leahroisin,22,0,45,33,266
Clandestino,0,0,7,0,0
benandema,5,0,12,2,4
Martine,0,0,20,0,0
alimitchell,0,0,12,0,0
YvesLaRock,0,3,15,0,0
ironyboy,0,0,2,0,0
RabidGravy,145,2,121,39,2
raggy,0,0,2,0,0
jamespallister,1,0,45,1,0
jamiegloyne,0,0,3,0,0
WibbleFarmer,6,0,29,3,19
snkta1,0,0,2,0,0
foobar2k,0,0,11,1,2
frogstomp,1,0,9,0,2
triangles,1,0,2,1,3
HowAboutBeth,2,0,4,0,0
dzbun,5,0,2,2,4
gaspar,4,0,31,0,3
lucasrodrigues,6,1,17,0,1
dembsp,10,0,18,1,10
llinxx,1,0,6,1,0
vulcanhippy,2,0,3,1,1
GLeeSe1,6,1,6,0,4
DirtyCanvas,0,1,1,0,1
LF,1,0,0,0,0
ninjaslim,1,0,0,3,4
morgan_freeman,0,0,1,1,0
Grimelapse,0,1,1,0,0
PeanutbutterSoundclash,1,0,5,0,0
chevron,0,0,1,0,0
alvaroernesto,0,0,8,0,0
melodica,0,0,7,0,1
debutart,0,0,2,0,0
whitefolksgetcrunk,0,2,58,3,1
deric,2,2,19,0,0
JooLs,5,1,10,1,1
soundpellegrino,1,5,339,3,2
Charles_Wild,7,5,28,4,28
resistor,0,1,6,0,0
timeblind,5,1,36,3,3
ZombieDiscoSquad,0,2,423,0,0
soleqs,1,1,13,0,0
benversluis,363,2,139,7,1
tas,0,0,12,0,0
emmaeeek,0,0,20,0,0
badelatsch,85,0,66,5,143
jackakatramp,15,0,53,5,60
ElLlE,44,0,109,2,45
arthurc,0,0,4,0,0
MixCloud1,0,0,2,0,2
mc,1,0,9,3,4
gazebo_pop,0,0,2,0,0
piccoder,1,0,20,0,0
elsielien,7,0,58,0,2
FS_rico,0,0,2,0,0
petersen,0,0,20,1,0
robbothan,0,0,5,11,63
Azeem,0,0,9,0,0
directorjulian,0,0,2,0,0
kamiokande,0,0,2,0,0
Heathen,0,0,2,0,1
benl,11,0,23,19,13
supercollidr,0,0,2,0,0
sameerkotecha,0,0,9,0,69
nufunk,5,0,75,0,0
hoz,20,0,31,6,61
tomm,14,0,50,2,3
mtron,3,0,18,2,20
gasd,31,0,143,1,2
timwhitlock,3,0,24,2,1
Mr_Uno,1,0,8,0,1
EstaMonn,9,0,31,0,4
BranFlake,28,0,76,32,59
alsmary,0,0,8,0,0
Fbhula,13,0,45,5,20
sergeytrotzkopf,523,0,158,0,0
pegerteg,140,1,132,74,102
djw,0,0,2,0,1
xavier_roeseler,40,0,147,61,115
Ruudboy,19,0,44,28,66
amandineeap,0,0,2,0,0
stellarmusic,14,0,72,0,0
Thattomguy,0,0,2,0,0
daaifung,1,0,27,2,1
spinegrilling,0,0,2,0,0
oscarhoglund,0,0,8,0,3
alex,29,0,84,18,11
bigandy,1,0,8,4,4
marymary,2,0,24,1,3
morris,31,0,80,1,21
calicotree,2,0,3,5,24
eztiger,0,0,2,0,0
Akordes,0,0,2,0,0
HughDoVoodoo,2,0,10,0,0
georgelanham,2089,0,524,9,11
mcmarek1,0,0,2,0,2
davidsykes,1,0,8,1,0
kitana3737,2,0,3,0,3
matclayton,1,0,16,0,0
martinlewisuk,0,0,4,0,0
smo,14,0,39,6,4
cooljpv,0,0,10,0,0
