username;ref_as_follower;ref_as_following;ref_as_faved
coopera;1;3;2
nickcobby;7;22;3
magicjunkradio;0;7;0
drhugo;0;5;3
rhymast;25;55;9
noobe;75;30;8
multimodalradioshow;14;41;2
jrapp;10;5;0
procacci;1;0;0
mrlivewire;55;36;2
sonja;5;9;0
MaxMusic;1;2;1
djbeauriche;1;0;0
TidyRhythm;0;13;2
ATLBOY;2;1;0
renegade_0131;2;0;0
Dominofx;38;13;1
tomm;14;50;13
wearebeatnik;8;15;4
flashback;2;2;0
DrmZ;8;16;4
TadasQuazar;8;12;3
circuitflow;23;35;0
lekrux;12;1;0
for_mad;0;4;2
ty_ees;6;12;2
bassjam;191;115;14
jeekoos;0;1;0
moofin;3;42;18
Silverboy;2;24;6
dairmount;79;25;1
alank;2;8;3
Jin;2;17;0
Lanner;1;9;1
shanewatcha;84;87;1
digitalself;0;1;0
westside_fm;12;21;1
djpaulgabriel;14;6;0
electrofunkdiscotek;65;60;2
integratedaudiosolutions;3;2;1
nullandvoidblog;7;10;0
Nick_Rider;27;12;0
aland;2;3;0
djkatarina;1;24;7
indeepndanceradio;0;18;3
paulpre;0;216;60
logos;4103;410;8
jennaweave;16;19;1
benversluis;363;139;3
galetvalet;5;17;4
Tuney;0;4;0
pencilface;21;20;3
piratech;4;7;1
dickiecox;3;6;1
cocomac;13;11;3
sleephouseradio;0;4;0
electronationradio;3;137;22
Twenty7;16;9;0
rjdidit;10;28;1
soleqs;1;13;0
ShaynAlmeida;23;46;2
quietmusic;6;345;31
casper_c;0;8;0
timeblind;5;36;2
electricshock;2;2;2
danwood;39;69;15
djconsciousness;0;9;4
petebutta;0;18;3
attackyourself;10;31;5
djcastoltroy;0;9;0
nickwicked;0;7;0
Reuben_G;0;2;1
zaren_inthemix;5;9;0
renegadesofjazz;38;36;7
osm;1;8;2
Tobo;4;28;6
DJMirkoS;9234;708;15
hibernaterecs;6;90;40
Charles_Wild;7;28;15
metricmoses;4;34;0
soundpellegrino;1;339;142
Tensor;1;2;0
djeuan;4;14;0
deezeejay;9;14;0
dj8088;19;8;0
djjrkaozz;1;2;1
hotbutteredsoul;6900;1487;206
scen;6;5;2
BestivalRadio;0;169;24
lodgecast;17;10;1
lepiaf;0;2;0
fRoggy;5;13;0
increibleignatz;1;9;0
tunesdave;9;13;2
cutups;6;71;17
playjazzloud;164;204;54
alfy;2;1;0
anflec;3;3;1
Muze;3;2;0
Jeering_Ogre;86;50;0
niskerone;0;16;0
BASMEISTER;16;21;8
theweddingdjs;3;3;0
clekzo;10;35;2
pressurebelfast;27;31;2
artizanmusic;0;10;1
raffertie;3;25;1
AnonymousDJ;1;1;0
barryfoldout;26;19;3
djdisc;17;14;0
ibizarre;0;7;2
djcrises;26;33;4
ROCKFORT;0;20;4
oldboysclub;0;7;0
briaproject;7;4;1
BoB_SwanS;225;135;2
blackpasta;1;6;0
somalia;58;49;1
pp15doodoo;1;5;0
